property_id,bank_name,property,reserve_price,emd,emd_last_date,auction_start_date,auction_end_date,state,district,city
BARB282736,BANK OF BARODA,RESIDENTIAL,"3,70,21,000.00","37,03,000.00",,,,ANDHRA PRADESH,WEST GODAVARI,Tanuku
BARB292736,BANK OF BARODA,RESIDENTIAL,"4,19,88,000.00","41,99,000.00",,,,ANDHRA PRADESH,WEST GODAVARI,Tanuku
BARB382736,BANK OF BARODA,RESIDENTIAL,"55,00,000.00","5,50,000.00",,,,ANDHRA PRADESH,EAST GODAVARI,Rajamundry
BARB422736,BANK OF BARODA,RESIDENTIAL,"73,00,000.00","7,30,000.00",,,,ANDHRA PRADESH,EAST GODAVARI,Rajamundry
BARB432736,BANK OF BARODA,RESIDENTIAL,"79,00,000.00","7,90,000.00",,,,ANDHRA PRADESH,EAST GODAVARI,Rajamundry
BARB592736,BANK OF BARODA,OTHERS,"11,61,17,300.00","1,61,17,300.00",,,,ANDHRA PRADESH,CHITTOOR,Chittor Railway Station
PUNB00009203922,PUNJAB NATIONAL BANK,RESIDENTIAL,,,,,,ASSAM,BONGAIGAON,abhayapuri
PUNB000220202301,PUNJAB NATIONAL BANK,COMMERCIAL,"16,87,00,000.00","1,68,70,000.00",,,,ASSAM,BISHWANATH,BEHALI
PUNB000420202103,PUNJAB NATIONAL BANK,INDUSTRIAL,"80,00,000.00","8,00,000.00",,,,ASSAM,KAMRUP METROPOLITAN,"KAITHASIDHI, AIR FORCE STATION ROAD"
PUNB000520202103,PUNJAB NATIONAL BANK,RESIDENTIAL,"54,30,000.00","5,43,000.00",,,,ASSAM,KOKRAJHAR,"JOYANAGAR, GOSAIGAON"
PUNB000920202301,PUNJAB NATIONAL BANK,RESIDENTIAL,"10,65,000.00","1,06,500.00",,,,ASSAM,BONGAIGAON,BONGAIGAON
PUNB00327201155,PUNJAB NATIONAL BANK,RESIDENTIAL,,,,,,ASSAM,KAMRUP METROPOLITAN,BAIHATA CHARIALI
BARB600720200008,BANK OF BARODA,COMMERCIAL,"1,18,75,000.00","11,87,500.00",,,,BIHAR,KAIMUR (BHABUA),HATA
BARB603120200062,BANK OF BARODA,RESIDENTIAL,"56,21,400.00","5,63,000.00",,,,BIHAR,BUXAR,AHIRAULI BUXAR
CBIN028006401,CENTRAL BANK OF INDIA,RESIDENTIAL,"16,40,000.00","1,64,000.00",,,,BIHAR,SUPAUL,RAGHOPUR
CBIN028006402,CENTRAL BANK OF INDIA,RESIDENTIAL,"8,80,000.00","88,000.00",,,,BIHAR,SUPAUL,RAGHOPUR
CBIN028006403,CENTRAL BANK OF INDIA,RESIDENTIAL,"9,50,000.00","95,000.00",,,,BIHAR,SUPAUL,RAGHOPUR
CBIN028006703,CENTRAL BANK OF INDIA,RESIDENTIAL,"15,40,000.00","1,54,000.00",,,,BIHAR,KISHANGANJ,KISHANGANJ
BARB604520210002,BANK OF BARODA,COMMERCIAL,"1,18,88,100.00","11,88,810.00",,,,CHANDIGARH,CHANDIGARH,CHANDIGARH
CORP2000,UNION BANK OF INDIA,RESIDENTIAL,"1,01,00,000.00","10,10,000.00",,,,CHANDIGARH,CHANDIGARH,MOHALI
PUNB00002,PUNJAB NATIONAL BANK,COMMERCIAL,10.00,1.00,,,,CHANDIGARH,CHANDIGARH,Chandigarh
PUNB00038,PUNJAB NATIONAL BANK,RESIDENTIAL,,100.00,,,,CHANDIGARH,CHANDIGARH,Burail
PUNB377500000039,PUNJAB NATIONAL BANK,INDUSTRIAL,,"68,50,000.00",,,,CHANDIGARH,CHANDIGARH,Chandigarh
PUNB834000000051,PUNJAB NATIONAL BANK,RESIDENTIAL,,"3,15,000.00",,,,CHANDIGARH,CHANDIGARH,Chandigarh
BARB132220200011,BANK OF BARODA,RESIDENTIAL,"4,95,000.00","50,000.00",,,,CHHATTISGARH,KORBA,KORBA
BARB132620200089,BANK OF BARODA,RESIDENTIAL,"7,68,000.00","77,000.00",,,,CHHATTISGARH,RAIPUR,ABHANPUR
BARB132620200090,BANK OF BARODA,RESIDENTIAL,"22,10,000.00","2,21,000.00",,,,CHHATTISGARH,RAIPUR,ABHANPUR
